restaurant_name,rating,average_price,average_delivery_time,south_indian_or_not,north_indian_or_not,fast_food_or_not,street_food,biryani_or_not,bakery_or_not,location,City Tier,State/U.T,Region
Ludhiana Egg Parantha,3.9,50,10,0,1,0,0,0,0,Ludhiana,Tier 2 Cities,Punjab,North India
Ludhiana Fish Corner,3.9,500,26,0,0,0,0,0,0,Ludhiana,Tier 2 Cities,Punjab,North India
Ludhiana Punjabi Dhaba,4.0,150,30,0,1,1,0,0,0,Udaipur,Tier 2 Cities,Rajasthan,North India
Ludo Cafe,4.1,100,42,0,0,1,0,0,0,Cuttack,Tier 2 Cities,Odisha,East India
Luft,4.1,200,43,0,1,0,0,1,0,Lucknow,Tier 2 Cities,Uttar Pradesh,North India
Lukhnovi Zaika,3.3,100,39,0,1,0,0,0,0,Jodhpur,Tier 2 Cities,Rajasthan,North India
Lulu Hypermarket,3.6,150,31,0,0,0,0,0,0,Coimbatore,Tier 2 Cities,Tamil Nadu,South India
Lulu Hypermarket,3.9,150,48,0,1,1,0,0,0,Trivandrum,Tier 2 Cities,Kerala,South India
Lulu Hypermarket,4.0,250,48,1,1,1,0,0,1,Bangalore,Tier 1  Cities,Karnataka,South India
Lunarbucks,3.2,150,42,0,0,0,0,0,0,Lucknow,Tier 2 Cities,Uttar Pradesh,North India
Lunarbucks - Coffee,3.7,200,36,0,0,1,0,0,0,Lucknow,Tier 2 Cities,Uttar Pradesh,North India
Lunch Affairs,3.8,100,26,0,1,0,0,0,0,Ranchi,Tier 2 Cities,Jharkhand,East India
Lunch Box,3.3,100,40,0,0,0,0,0,0,Nagpur,Tier 2 Cities,Maharashtra,West India
Lunch Box,3.6,150,18,0,1,0,0,0,0,Allahabad,Tier 2 Cities,Uttar Pradesh,North India
Lunch Box,3.8,350,42,0,1,0,0,0,0,Ludhiana,Tier 2 Cities,Punjab,North India
Lunch Box 24*7,3.1,200,44,0,1,1,1,1,0,Kanpur,Tier 2 Cities,Uttar Pradesh,North India
Lunch Box Factory,3.2,300,52,0,1,0,0,0,0,Bhopal,Tier 2 Cities,Madhya Pradesh,Central India
Lunch House,2.8,50,43,0,0,1,0,0,0,Allahabad,Tier 2 Cities,Uttar Pradesh,North India
Lunch Stopper,4.2,400,50,0,1,0,0,0,0,Kolkata,Tier 1  Cities,West Bengal,East India
LUNCHBASKET,3.3,100,25,1,0,1,0,0,0,Vijayawada,Tier 2 Cities,Andhra Pradesh,South India
LunchBox - Meals and Thalis,3.6,150,29,0,1,0,0,0,0,Mumbai,Tier 1  Cities,Maharashtra,West India
LunchBox - Meals and Thalis,3.6,200,35,0,1,0,0,0,0,Nellore,Tier 2 Cities,Andhra Pradesh,South India
LunchBox - Meals and Thalis,3.7,100,34,0,1,0,0,0,0,Nellore,Tier 2 Cities,Andhra Pradesh,South India
LunchBox - Meals and Thalis,3.8,150,33,0,1,0,0,0,0,Vadodara,Tier 2 Cities,Gujarat,West India
LunchBox - Meals and Thalis,3.8,200,28,0,1,0,0,0,0,Belgaum,Tier 2 Cities,Karnataka,South India
LunchBox - Meals and Thalis,3.8,200,30,0,1,0,0,0,0,Ahmedabad,Tier 1  Cities,Gujarat,West India
LunchBox - Meals and Thalis,3.9,150,31,0,1,0,0,0,0,Coimbatore,Tier 2 Cities,Tamil Nadu,South India
LunchBox - Meals and Thalis,3.9,200,21,0,1,0,0,0,0,Nagpur,Tier 2 Cities,Maharashtra,West India
LunchBox - Meals and Thalis,3.9,200,23,0,1,0,0,0,0,Salem,Tier 2 Cities,Tamil Nadu,South India
LunchBox - Meals and Thalis,3.9,200,23,0,1,0,0,0,0,Vijayawada,Tier 2 Cities,Andhra Pradesh,South India
LunchBox - Meals and Thalis,4.0,50,33,0,1,0,0,0,0,Ludhiana,Tier 2 Cities,Punjab,North India
LunchBox - Meals and Thalis,4.0,100,24,0,1,0,0,0,0,Nashik,Tier 2 Cities,Maharashtra,West India
LunchBox - Meals and Thalis,4.0,100,28,0,1,0,0,0,0,Jalandhar,Tier 2 Cities,Punjab,North India
LunchBox - Meals and Thalis,4.0,100,30,0,1,0,0,0,0,Tirunelveli,Tier 2 Cities,Tamil Nadu,South India
LunchBox - Meals and Thalis,4.0,150,38,0,1,0,0,0,0,Jabalpur,Tier 2 Cities,Madhya Pradesh,Central India
LunchBox - Meals and Thalis,4.0,150,39,0,1,0,0,0,0,Surat,Tier 2 Cities,Gujarat,West India
LunchBox - Meals and Thalis,4.0,200,31,0,1,0,0,0,0,Trivandrum,Tier 2 Cities,Kerala,South India
